materia,tema,subtema,dificultad,enunciado
Cálculo I,Integración,Integración por partes,Avanzado,"Usando la fórmula de reducción derivada por partes, prueba que:\n  ∫₀^(π/2) sinⁿ(x) dx = ((n-1)/n)·∫₀^(π/2) sinⁿ⁻²(x) dx\n\nLuego evalúa ∫₀^(π/2) sin⁷(x) dx."
Cálculo I,Series de Taylor y aproximaciones,Polinomio de Taylor,Final,Encuentra el polinomio de Taylor de grado 4 de f(x) = cos(x) alrededor de x₀ = π/3.\nUsa el polinomio para aproximar cos(61°) y estima el error usando el término de Lagrange.
Cálculo I,Series de Taylor y aproximaciones,Polinomio de Taylor,Avanzado,Determina el polinomio de Maclaurin de orden n para f(x) = ln(1+x).\nPrueba que la serie converge para -1 < x ≤ 1 usando la prueba del cociente.\nLuego evalúa ln(1.2) con error < 0.001.
Cálculo II,Técnicas de integración avanzadas,Sustitución trigonométrica,Parcial,Calcula:\n  ∫ √(9 - x²) dx\n\nUsa x = 3·sin θ y convierte de regreso a x al final.
Cálculo II,Técnicas de integración avanzadas,Sustitución trigonométrica,Final,Evalúa:\n  ∫ x³ / (x² + 4)^(3/2) dx\n\nUsa la sustitución x = 2·tan θ.
Cálculo II,Técnicas de integración avanzadas,Sustitución trigonométrica,Avanzado,Calcula mediante sustitución apropiada:\n  ∫₀^1  x⁴·√(1-x²) dx\n\nExpresa el resultado usando la función Beta o directamente.
Cálculo II,Técnicas de integración avanzadas,Fracciones parciales,Parcial,Descompón en fracciones parciales y evalúa:\n  ∫ (3x² + 5x - 2) / [(x-1)(x+2)(x+1)] dx
Cálculo II,Técnicas de integración avanzadas,Fracciones parciales,Final,Evalúa:\n  ∫ (x³ + 2) / [x·(x²+1)²] dx\n\nEl denominador tiene un factor repetido de segundo grado; configura la descomposición correctamente.
Cálculo II,Técnicas de integración avanzadas,Fracciones parciales,Avanzado,Calcula:\n  ∫ 1 / (x⁴ - 1) dx\n\nFactoriza completamente x⁴-1 sobre ℝ y aplica fracciones parciales.
Cálculo II,Técnicas de integración avanzadas,Integrales impropias,Parcial,"Determina convergencia/divergencia y evalúa si converge:\n  ∫₁^∞  1/x^p dx   para los casos p=1, p=2, p=1/2"
Cálculo II,Técnicas de integración avanzadas,Integrales impropias,Final,Evalúa (si converge):\n  ∫₋∞^∞  x·e^(-x²) dx   y   ∫₀^∞  e^(-ax)·cos(bx) dx  (a>0)
Cálculo II,Técnicas de integración avanzadas,Integrales impropias,Avanzado,Demuestra que la integral gaussiana ∫₋∞^∞ e^(-x²) dx = √π\nusando el truco de calcular [∫₋∞^∞ e^(-x²) dx]² en coordenadas polares.
Cálculo II,Series infinitas,Convergencia y criterios,Parcial,Aplica el criterio adecuado y concluye convergencia/divergencia:\n  a) Σ(n=1→∞) n² / (n³+1)\n  b) Σ(n=1→∞) (-1)ⁿ / √n\n  c) Σ(n=1→∞) n! / nⁿ
Cálculo II,Series infinitas,Convergencia y criterios,Final,"Determina convergencia absoluta, condicional o divergencia:\n  Σ(n=1→∞) (-1)ⁿ · n / (n² + 1)\n\nJustifica cada paso indicando qué criterio aplicas."
Cálculo II,Series infinitas,Convergencia y criterios,Avanzado,"Demuestra o refuta: si Σaₙ converge, entonces Σaₙ² converge.\n¿Y el recíproco? Construye ejemplos o contraejemplos para ambas direcciones."
Cálculo II,Series infinitas,Series de potencias,Final,Encuentra el radio e intervalo de convergencia de:\n  Σ(n=1→∞) (-1)ⁿ·(x-2)ⁿ / (n·3ⁿ)\n\nVerifica convergencia en los extremos del intervalo.
Cálculo II,Series infinitas,Series de potencias,Avanzado,La función f(x) = ∫₀^x sin(t²) dt no tiene antiderivada elemental.\na) Expresa f como serie de potencias.\nb) Estima f(0.5) con error < 10⁻⁶.\nc) Determina el radio de convergencia.
Cálculo II,Series infinitas,Series de Fourier (introducción),Avanzado,"Encuentra la serie de Fourier de f(x) = x en [-π, π] con período 2π.\nUsa la igualdad de Parseval para deducir que:\n  Σ(n=1→∞) 1/n² = π²/6"
Cálculo II,Aplicaciones de la integral,Longitud de arco y superficie de revolución,Final,Calcula la longitud del arco de la curva:\n  y = (1/3)·x^(3/2) - x^(1/2)   desde x=1 hasta x=4\n\nSimplifica √(1+(dy/dx)²) antes de integrar.
Cálculo II,Aplicaciones de la integral,Longitud de arco y superficie de revolución,Avanzado,La catenaria y = a·cosh(x/a) describe la forma de un cable colgante.\na) Calcula la longitud de arco entre x=-L y x=L.\nb) Halla el área de la superficie de revolución al girar alrededor del eje x.
Cálculo II,Aplicaciones de la integral,"Trabajo, presión y momentos",Final,Un depósito cónico (vértice abajo) de altura 4 m y radio superior 2 m está lleno de agua (ρ=1000 kg/m³).\n¿Cuánto trabajo se necesita para bombear toda el agua hasta 1 m sobre el borde superior?
Cálculo II,Aplicaciones de la integral,"Trabajo, presión y momentos",Avanzado,"Una presa tiene compuerta rectangular vertical de 3 m de ancho y 2 m de alto, con el borde superior a 5 m bajo la superficie.\nCalcula la fuerza hidrostática total sobre la compuerta (ρ_agua = 1000 kg/m³, g = 9.8 m/s²)."
Cálculo III,Funciones vectoriales,Curvas en el espacio,Parcial,"Sea r(t) = (t·cos t, t·sin t, t).\na) Calcula el vector velocidad r'(t) y la rapidez |r'(t)|.\nb) Encuentra la longitud del arco de t=0 a t=2π."
Cálculo III,Funciones vectoriales,Curvas en el espacio,Final,"Para la hélice r(t) = (cos t, sin t, t):\na) Calcula el vector tangente unitario T̂, el normal principal N̂ y el binormal B̂.\nb) Determina la curvatura κ y la torsión τ."
Cálculo III,Derivadas parciales,"Definición, plano tangente y diferencial",Parcial,"Para f(x,y) = e^(xy) · ln(x+y):\na) Calcula ∂f/∂x y ∂f/∂y en el punto (1,0).\nb) Escribe la ecuación del plano tangente en (1,0, f(1,0))."
Cálculo III,Derivadas parciales,"Definición, plano tangente y diferencial",Final,"El volumen de un cono es V = πr²h/3. Si r se mide con error de 0.1 cm y h con error de 0.2 cm, cuando r=5 cm y h=12 cm, usa el diferencial total para estimar el error máximo en V."
Cálculo III,Derivadas parciales,"Definición, plano tangente y diferencial",Avanzado,"Verifica el Teorema de Schwarz (igualdad de derivadas cruzadas) y demuestra que no siempre se cumple.\nPara f(x,y) = xy(x²-y²)/(x²+y²) si (x,y)≠(0,0), y f(0,0)=0:\nCalcula fₓᵧ(0,0) y fᵧₓ(0,0) desde la definición. ¿Son iguales?"
Cálculo III,Derivadas parciales,Regla de la cadena multivariable,Final,"Si z = f(x,y), x = r·cos θ, y = r·sin θ, demuestra que:\n  (∂z/∂x)² + (∂z/∂y)² = (∂z/∂r)² + (1/r²)(∂z/∂θ)²\n\nEsta es la transformación del gradiente a coordenadas polares."
Cálculo III,Derivadas parciales,Regla de la cadena multivariable,Avanzado,"La ecuación de ondas ∂²u/∂t² = c²·∂²u/∂x² se transforma con el cambio ξ = x+ct, η = x-ct.\nDemuestra que la ecuación se convierte en ∂²u/∂ξ∂η = 0, cuya solución general es u = f(ξ) + g(η) (solución de D'Alembert)."
Cálculo III,Derivadas parciales,"Gradiente, derivada direccional y optimización",Parcial,"f(x,y) = x² + 2xy - y³.\na) Calcula ∇f en P=(1,-1).\nb) Encuentra la derivada direccional en P en la dirección hacia Q=(3,2).\nc) ¿En qué dirección crece f más rápido en P?"
Cálculo III,Derivadas parciales,"Gradiente, derivada direccional y optimización",Final,"Encuentra y clasifica todos los puntos críticos de:\n  f(x,y) = x³ - 3x + y⁴ - 2y²\n\nUsa la prueba de la segunda derivada (determinante Hessiano)."
Cálculo III,Derivadas parciales,"Gradiente, derivada direccional y optimización",Avanzado,Usa multiplicadores de Lagrange para encontrar el punto de la intersección de los planos\nx + y + z = 1   y   2x - y + z = 4\nmás cercano al origen.\nLuego verifica tu resultado minimizando directamente x²+y²+z² con las restricciones.
Cálculo III,Integrales múltiples,Integral doble en coordenadas cartesianas,Parcial,Evalúa cambiando el orden de integración:\n  ∫₀^1 ∫_x^1 e^(y²) dy dx\n\n(La integral en el orden original no tiene antiderivada elemental.)
Cálculo III,Integrales múltiples,Integral doble en coordenadas cartesianas,Final,Calcula el volumen del sólido acotado superiormente por z = 4 - x² - y² e inferiormente por z = x² + y² - 2.
Cálculo III,Integrales múltiples,Integral doble en coordenadas polares,Final,"Evalúa en polares:\n  ∬_D (x² + y²)^(3/2) dA\n  D: x² + y² ≤ 4, y ≥ 0"
Cálculo III,Integrales múltiples,Integral doble en coordenadas polares,Avanzado,Calcula el área de la región interior a la cardioide r = 1 + cos θ y exterior al círculo r = 1.
Cálculo III,Integrales múltiples,Integral triple,Final,"Encuentra el momento de inercia Iz = ∭_E (x²+y²) dV del cilindro sólido x²+y²≤a², 0≤z≤h, con densidad constante ρ.\nUsa coordenadas cilíndricas."
Cálculo III,Integrales múltiples,Integral triple,Avanzado,Evalúa en coordenadas esféricas:\n  ∭_E z dV\n  E: esfera x²+y²+z²≤4 con z≥0 (hemisferio superior)\n\nVerifica también con coordenadas cilíndricas.
Cálculo III,Cálculo vectorial,Integrales de línea y campos conservativos,Final,"Verifica si F = (2xy + z², x² + 2yz, 2xz + y²) es conservativo.\nSi lo es, encuentra el potencial φ tal que F = ∇φ y evalúa la integral de línea de (0,0,0) a (1,2,3)."
Cálculo III,Cálculo vectorial,Integrales de línea y campos conservativos,Avanzado,"Calcula ∮_C F·dr donde F = (-y, x, z²) y C es la curva de intersección del cilindro x²+y²=1 con el plano y+z=2, recorrida en sentido antihorario visto desde arriba.\nUsa el Teorema de Stokes."
Cálculo III,Cálculo vectorial,"Teorema de Green, Stokes y Gauss",Final,Usa el Teorema de Green para calcular ∮_C (y³ dx - x³ dy) donde C es el círculo x²+y²=4 recorrido en sentido antihorario.
Cálculo III,Cálculo vectorial,"Teorema de Green, Stokes y Gauss",Avanzado,"Usa el Teorema de la Divergencia para calcular ∬_S F·dS donde F = (x³, y³, z³) y S es la superficie cerrada del cubo [0,1]³.\nCompara el esfuerzo de calcular las 6 integrales de superficie directamente vs. el teorema."
Cálculo IV,Ecuaciones diferenciales ordinarias,EDO de primer orden,Parcial,Resuelve la EDO exacta:\n  (2xy + y²)dx + (x² + 2xy)dy = 0\n\nVerifica primero que es exacta (∂M/∂y = ∂N/∂x) y luego encuentra la función potencial.
Cálculo IV,Ecuaciones diferenciales ordinarias,EDO de primer orden,Final,Resuelve la ecuación de Bernoulli:\n  y' + (2/x)·y = x²·y³\n\nUsa la sustitución v = y^(1-n) para linealizarla.
Cálculo IV,Ecuaciones diferenciales ordinarias,EDO de primer orden,Avanzado,Modelado: Una mezcla en un tanque de 1000 L contiene inicialmente 50 g de sal.\nEntra solución con 2 g/L a 5 L/min y sale la mezcla a 5 L/min.\na) Plantea y resuelve la EDO para la cantidad Q(t) de sal.\nb) ¿Cuánto tiempo tarda en haber 400 g de sal?\nc) ¿Cuál es la concentración de equilibrio?
Cálculo IV,Ecuaciones diferenciales ordinarias,EDO de segundo orden lineal,Parcial,"Resuelve la EDO homogénea:\n  y'' - 5y' + 6y = 0\n  y(0) = 2, y'(0) = 1"
Cálculo IV,Ecuaciones diferenciales ordinarias,EDO de segundo orden lineal,Final,Usa el método de coeficientes indeterminados para resolver:\n  y'' + 4y = 3sin(2t)\n\nObserva la resonancia: la parte homogénea y la forzada tienen la misma frecuencia.
Cálculo IV,Ecuaciones diferenciales ordinarias,EDO de segundo orden lineal,Avanzado,"Un sistema masa-resorte-amortiguador tiene m=1 kg, c=2 N·s/m, k=5 N/m,\ncon fuerza externa F(t) = 4·cos(2t) N y condiciones x(0)=0, x'(0)=0.\na) Encuentra la solución completa x(t).\nb) Identifica solución transitoria y estacionaria.\nc) Calcula la amplitud de estado estacionario y la frecuencia de resonancia del sistema."
Cálculo IV,Ecuaciones diferenciales ordinarias,Sistemas de EDOs y transformada de Laplace,Final,"Usa la transformada de Laplace para resolver:\n  y'' + 3y' + 2y = e^(-t)\n  y(0)=1, y'(0)=0\n\nAplica fracciones parciales en el espacio de Laplace."
Cálculo IV,Ecuaciones diferenciales ordinarias,Sistemas de EDOs y transformada de Laplace,Avanzado,Resuelve el sistema con Laplace:\n  x'(t) = 4x - y + u(t-1)\n  y'(t) = 2x + y\n  x(0) = y(0) = 0\n\ndonde u(t-1) es la función escalón unitario con retardo 1.
Cálculo IV,Análisis vectorial avanzado,Teoremas integrales,Final,Demuestra la identidad de Green:\n  ∬_D (φ·∇²ψ - ψ·∇²φ) dA = ∮_∂D (φ·∂ψ/∂n - ψ·∂φ/∂n) ds\n\npartiendo del Teorema de la Divergencia en 2D.
Cálculo IV,Análisis vectorial avanzado,Teoremas integrales,Avanzado,"Resuelve el problema de valor en la frontera usando la identidad de Green:\n  ∇²u = -f(x,y) en D\n  u = 0 en ∂D\n\nExpresa la solución mediante la función de Green G(x,y;ξ,η)."
Cálculo IV,Ecuaciones diferenciales parciales,Ecuación del calor y de onda,Final,"Resuelve la ecuación del calor por separación de variables:\n  ∂u/∂t = α²·∂²u/∂x²,  0<x<L, t>0\n  u(0,t)=u(L,t)=0,  u(x,0)=sin(πx/L)"
Cálculo IV,Ecuaciones diferenciales parciales,Ecuación del calor y de onda,Avanzado,"Resuelve la ecuación de onda:\n  ∂²u/∂t² = c²·∂²u/∂x²,  0<x<1\n  u(0,t)=u(1,t)=0\n  u(x,0)=x(1-x),  ∂u/∂t(x,0)=0\n\nExpresa la solución como serie de Fourier en seno y analiza la energía del sistema."
Física I,Mecánica clásica: Cinemática,Movimiento rectilíneo uniformemente acelerado,Parcial,Ref. Serway §2.5 — Un tren parte del reposo y acelera a 1.40 m/s².\na) ¿Cuánto tarda en alcanzar 80 km/h?\nb) ¿Cuánta distancia recorre en ese tiempo?\nc) ¿Cuál es su desplazamiento entre t=10 s y t=20 s?
Física I,Mecánica clásica: Cinemática,Movimiento rectilíneo uniformemente acelerado,Final,"Ref. Serway §2.8 — Una piedra cae desde un puente y se escucha el splash 3.00 s después de soltarla.\nVelocidad del sonido = 340 m/s, g = 9.80 m/s².\nPlantea y resuelve la ecuación (cuadrática) para encontrar la altura del puente.\n(No ignores el tiempo del sonido.)"
Física I,Mecánica clásica: Cinemática,Movimiento relativo y cinemática vectorial,Parcial,"Ref. Serway §4.6 — Un bote puede cruzar un río de 200 m de ancho. La corriente va a 1.5 m/s y el bote a 2.5 m/s relativo al agua.\na) Si apunta perpendicular a la orilla, ¿en qué punto llega y cuánto tarda?\nb) ¿Con qué ángulo debe apuntar para cruzar en la mínima distancia?\nc) ¿Cuál es el ángulo y el tiempo para cruzar en línea recta perpendicular?"
Física I,Mecánica clásica: Cinemática,Movimiento relativo y cinemática vectorial,Final,"Ref. Halliday §4 — Dos partículas A y B se mueven con velocidades constantes:\n  v_A = (3î - 4ĵ) m/s desde r_A0 = (0,0) m\n  v_B = (-2î + 6ĵ) m/s desde r_B0 = (20, 10) m\na) Encuentra la posición relativa r_AB(t).\nb) ¿Se acercan? ¿En qué instante es mínima la distancia?\nc) ¿Cuál es esa distancia mínima?"
Física I,Mecánica clásica: Cinemática,Proyectiles,Parcial,"Ref. Serway §4.3 — Un cañón dispara a 45° con v₀ = 150 m/s sobre terreno plano.\na) Altura máxima, alcance y tiempo de vuelo.\nb) ¿A qué otros ángulos logra el mismo alcance horizontal?\nc) ¿Cuál es el alcance máximo posible con esa v₀?"
Física I,Mecánica clásica: Cinemática,Proyectiles,Final,Ref. Serway §4.3 — Desde un acantilado de 80 m se lanza una pelota con v₀ = 20 m/s a 30° sobre la horizontal.\na) Tiempo total de vuelo.\nb) Alcance horizontal.\nc) Velocidad (módulo y dirección) al impactar.\nd) Altura máxima sobre el nivel del lanzamiento.
Física I,Mecánica clásica: Cinemática,Proyectiles,Avanzado,Ref. Halliday §4 — Demuestra que para un proyectil lanzado desde altura h sobre el suelo con ángulo θ y rapidez v₀:\n  Alcance = (v₀·cos θ/g)·[v₀·sin θ + √(v₀²sin²θ + 2gh)]\n\nLuego deriva respecto a θ e iguala a cero para encontrar el ángulo óptimo en función de h.
Física I,Mecánica clásica: Dinámica,Leyes de Newton y planos inclinados,Parcial,"Ref. Serway §5.7 — Dos bloques están sobre un plano inclinado (θ=37°) conectados por una cuerda que pasa por una polea ideal.\nm₁ = 5 kg (sobre el plano, μₖ=0.20), m₂ = 8 kg (colgante).\na) Diagrama de cuerpo libre para cada bloque.\nb) Aceleración del sistema.\nc) Tensión en la cuerda."
Física I,Mecánica clásica: Dinámica,Leyes de Newton y planos inclinados,Final,"Ref. Halliday §6 — Un bloque de 4 kg está sobre una mesa rugosa (μₛ=0.60, μₖ=0.40) y está unido por cuerdas a dos pesas:\n  • m₁ = 2 kg cuelga por el borde izquierdo\n  • m₂ = 6 kg cuelga por el borde derecho\na) ¿Se mueve el sistema? ¿En qué sentido?\nb) Calcula la aceleración y las tensiones T₁, T₂."
Física I,Mecánica clásica: Dinámica,Leyes de Newton y planos inclinados,Avanzado,"Ref. Halliday §6 — Un bloque de masa m reposa sobre una cuña de masa M que puede deslizarse sin fricción sobre el piso.\nEl ángulo de la cuña es θ, y la superficie bloque-cuña es rugosa (μₛ).\na) Encuentra la aceleración de la cuña.\nb) ¿Cuál es el valor mínimo de μₛ para que el bloque no resbale sobre la cuña?\n(Sistema complejo: el piso no aplica fricción a la cuña.)"
Física I,Mecánica clásica: Dinámica,Dinámica circular y fuerzas ficticias,Parcial,"Ref. Serway §6.1 — Un auto de 1500 kg toma una curva circular de radio 100 m a 90 km/h.\na) Aceleración centrípeta.\nb) Fuerza de fricción necesaria.\nc) Coeficiente de fricción estática mínimo necesario.\nd) Si la curva está peraltada a 15°, ¿cuál es la velocidad ideal sin fricción?"
Física I,Mecánica clásica: Dinámica,Dinámica circular y fuerzas ficticias,Final,"Ref. Halliday §6 — Una bolita de masa m en el interior de un cuenco esférico de radio R describe un círculo horizontal a ángulo θ desde la vertical.\na) Demuestra que ω² = g/(R·cos θ).\nb) Para R = 0.5 m, θ = 30°, calcula ω y el período T.\nc) Si en vez de un cuenco la bolita está sobre un cono invertido de semiángulo α, ¿cuál sería ω?"
Física I,Mecánica clásica: Dinámica,Dinámica circular y fuerzas ficticias,Avanzado,"Ref. Halliday §6 — Un automóvil pasa sobre una loma de perfil circular (radio R=80 m) a velocidad v.\na) Encuentra la fuerza normal N en la cima en función de v.\nb) ¿A qué velocidad el auto 'despega' (N=0)?\nc) En el fondo de un valle del mismo radio, encuentra N.\nd) Un pasajero de 70 kg siente ¿cuánto pesa en cada caso a v = 60 km/h?"
Física I,"Trabajo, energía y conservación",Trabajo y energía cinética,Parcial,"Ref. Serway §7.3 — Una fuerza variable F(x) = (3x² - 2x + 5) N actúa sobre una partícula.\nCalcula el trabajo realizado al desplazarla de x=0 a x=4 m.\nSi la masa es 2 kg y parte del reposo, ¿cuál es la rapidez final?"
Física I,"Trabajo, energía y conservación",Trabajo y energía cinética,Final,Ref. Serway §7 — Un resorte de k=800 N/m está comprimido 15 cm.\nUn bloque de 2 kg se coloca contra él (sin pegarse) sobre una superficie con μₖ=0.25.\na) Velocidad del bloque cuando el resorte recupera su longitud natural.\nb) Distancia total que recorre el bloque antes de detenerse.
Física I,"Trabajo, energía y conservación",Conservación de energía mecánica,Parcial,"Ref. Serway §8.2 — Una montaña rusa parte del reposo en la cima (h=45 m).\na) Rapidez en la base (h=0).\nb) Rapidez en un punto intermedio a h=20 m.\nc) Si hay fricción y llega a la base con v=25 m/s, ¿cuánta energía se perdió?\n(Despreciar la masa para a) y b), incluirla en c) si m=500 kg.)"
Física I,"Trabajo, energía y conservación",Conservación de energía mecánica,Final,"Ref. Halliday §8 — Una partícula se mueve en el potencial U(x) = 3x⁴ - 16x³ + 24x².\na) Encuentra los puntos de equilibrio y clasifícalos (estable/inestable).\nb) Si la partícula tiene energía total E=20 J, ¿en qué regiones puede estar?\nc) Encuentra la velocidad máxima y dónde ocurre."
Física I,"Trabajo, energía y conservación",Conservación de energía mecánica,Avanzado,"Ref. Halliday §8 — Demuestra que para un potencial central U(r), la energía efectiva es:\n  U_eff(r) = U(r) + L²/(2mr²)\n\ndonde L es el momento angular. Para U(r)=-k/r (Coulomb/gravitación):\na) Encuentra r_min (perihelio) y r_max (afelio) dados E y L.\nb) Muestra que las órbitas circulares ocurren en el mínimo de U_eff."
Física I,"Trabajo, energía y conservación",Cantidad de movimiento y colisiones,Final,"Ref. Serway §9.4 — En una colisión elástica 1D:\n  m₁ = 3 kg, v₁ = 5 m/s (→)\n  m₂ = 5 kg, v₂ = -2 m/s (←)\na) Velocidades finales.\nb) Verifica la conservación de KE.\nc) En el CM, ¿qué ocurre con las velocidades?"
Física I,"Trabajo, energía y conservación",Cantidad de movimiento y colisiones,Avanzado,"Ref. Halliday §9 — Una partícula de masa m y rapidez v choca con otra de masa M en reposo con parámetro de impacto b (colisión no centrada, elástica).\na) Demuestra que el ángulo de dispersión Θ en el sistema CM es independiente de b para esferas duras de radio R, cuando b < R.\nb) Calcula la sección eficaz diferencial dσ/dΩ.\nc) ¿Qué fracción de las partículas se dispersa en ángulos > 90°?"
